Id;Start time;Completion time;Email;Name;Sistema operacional principal;Familiaridade com ferramentas.GitHub / git;Familiaridade com ferramentas.Obsidian;Familiaridade com ferramentas.Modelos locais (Ollama, vLLM, LM Studio);Familiaridade com ferramentas.Gerenciadores de pacotes (pip, conda, npm, brew);Familiaridade com ferramentas.Jupyter Notebook;Familiaridade com ferramentas.Ambientes científicos com IA (Claude Science, OpenScience);Familiaridade com ferramentas.Interface de chat (ChatGPT, Claude);Familiaridade com ferramentas.MCP e skills;Familiaridade com ferramentas.Workflows agênticos e automações;Familiaridade com ferramentas.opencode ou Claude Code (agentes no terminal);Memória RAM da máquina que você vai usar;GPU da máquina que você vai usar;Antes da aula (marque tudo que se aplica);Faixa etária;Gênero;Entre estas, qual é a sua cor favorita?
1;24/09/2026 17:23;24/09/2026 17:24;anonymous;;Windows;Já usei;Já usei;Já usei;Já usei;Já usei;Ouvi falar, nunca usei;Já usei;Ouvi falar, nunca usei;Ouvi falar, nunca usei;Já usei;64 GB ou mais;NVIDIA;"Tenho conta no GitHub;Já instalei o Ollama e baixei um modelo;Já uso o terminal (linha de comando) com alguma frequência;Já escrevi em Markdown;Já programei em Python;Já usei Zotero ou outro gerenciador de referências;Já usei a wikipedia;";26 a 30;Masculino;Azul
2;24/09/2026 17:23;24/09/2026 17:24;anonymous;;Linux;Já usei;Já usei;Já usei;Já usei;Já usei;Ouvi falar, nunca usei;Já usei;Já usei;Já usei;Já usei;32 GB;NVIDIA;"Tenho conta no GitHub;Já usei o opencode;Já instalei o Ollama e baixei um modelo;Já uso o terminal (linha de comando) com alguma frequência;Já escrevi em Markdown;Já programei em Python;Já usei Zotero ou outro gerenciador de referências;Já usei a wikipedia;";21 a 25;Masculino;Vermelho
3;24/09/2026 17:23;24/09/2026 17:24;anonymous;;Windows;Já usei;Já usei;Já usei;Já usei;Já usei;Ouvi falar, nunca usei;Já usei;Ouvi falar, nunca usei;Já usei;Ouvi falar, nunca usei;32 GB;NVIDIA;"Tenho conta no GitHub;Já instalei o Ollama e baixei um modelo;Já uso o terminal (linha de comando) com alguma frequência;Já escrevi em Markdown;Já programei em Python;Já usei a wikipedia;";26 a 30;Masculino;Preto
4;24/09/2026 17:23;24/09/2026 17:24;anonymous;;macOS;Já usei;Ouvi falar, nunca usei;Já usei;Já usei;Já usei;Ouvi falar, nunca usei;Já usei;Já usei;Já usei;Já usei;16 GB;Apple Silicon (M1 a M4);"Tenho conta no GitHub;Já usei o opencode;Já instalei o Ollama e baixei um modelo;Já uso o terminal (linha de comando) com alguma frequência;Já escrevi em Markdown;Já programei em Python;Já usei Zotero ou outro gerenciador de referências;Já usei a wikipedia;";31 a 40;Masculino;Verde
5;24/09/2026 17:23;24/09/2026 17:24;anonymous;;macOS;Já usei;Ouvi falar, nunca usei;Ouvi falar, nunca usei;Nunca ouvi falar;Ouvi falar, nunca usei;Ouvi falar, nunca usei;Já usei;Ouvi falar, nunca usei;Ouvi falar, nunca usei;Ouvi falar, nunca usei;8 GB ou menos;Apple Silicon (M1 a M4);"Tenho conta no GitHub;Já usei Zotero ou outro gerenciador de referências;Já usei a wikipedia;";26 a 30;Masculino;Azul
6;24/09/2026 17:23;24/09/2026 17:24;anonymous;;Windows;Já usei;Ouvi falar, nunca usei;Já usei;Já usei;Já usei;Ouvi falar, nunca usei;Já usei;Já usei;Ouvi falar, nunca usei;Já usei;32 GB;NVIDIA;"Tenho conta no GitHub;Já usei o opencode;Já instalei o Ollama e baixei um modelo;Já uso o terminal (linha de comando) com alguma frequência;Já escrevi em Markdown;Já programei em Python;Já usei Zotero ou outro gerenciador de referências;Já usei a wikipedia;";31 a 40;Masculino;Azul
7;24/09/2026 17:23;24/09/2026 17:24;anonymous;;macOS;Já usei;Já usei;Ouvi falar, nunca usei;Já usei;Já usei;Nunca ouvi falar;Já usei;Nunca ouvi falar;Ouvi falar, nunca usei;Já usei;16 GB;Apple Silicon (M1 a M4);"Tenho conta no GitHub;Já uso o terminal (linha de comando) com alguma frequência;Já escrevi em Markdown;Já programei em Python;Já usei a wikipedia;";21 a 25;Não binário;Rosa
8;24/09/2026 17:23;24/09/2026 17:24;anonymous;;Windows;Já usei;Ouvi falar, nunca usei;Já usei;Já usei;Já usei;Ouvi falar, nunca usei;Já usei;Já usei;Já usei;Já usei;16 GB;NVIDIA;"Tenho conta no GitHub;Já instalei o Ollama e baixei um modelo;Já uso o terminal (linha de comando) com alguma frequência;Já escrevi em Markdown;Já programei em Python;Já usei a wikipedia;";21 a 25;Masculino;Azul
9;24/09/2026 17:23;24/09/2026 17:24;anonymous;;Windows;Já usei;Ouvi falar, nunca usei;Ouvi falar, nunca usei;Já usei;Já usei;Ouvi falar, nunca usei;Já usei;Ouvi falar, nunca usei;Ouvi falar, nunca usei;Ouvi falar, nunca usei;8 GB ou menos;Nenhuma ou não sei;"Tenho conta no GitHub;Já escrevi em Markdown;Já programei em Python;Já usei Zotero ou outro gerenciador de referências;Já usei a wikipedia;";41 a 50;Masculino;Azul
10;24/09/2026 17:23;24/09/2026 17:24;anonymous;;Windows;Já usei;Ouvi falar, nunca usei;Ouvi falar, nunca usei;Já usei;Já usei;Ouvi falar, nunca usei;Já usei;Ouvi falar, nunca usei;Ouvi falar, nunca usei;Já usei;16 GB;Nenhuma ou não sei;"Tenho conta no GitHub;Já uso o terminal (linha de comando) com alguma frequência;Já escrevi em Markdown;Já programei em Python;Já usei Zotero ou outro gerenciador de referências;Já usei a wikipedia;";21 a 25;Feminino;Laranja
